Index,Hyperlink
4,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HEALTHSCOPE-BENEFITS_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_0L_in-network-rates.json.gz
21,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HealthSCOPE-Benefits--Inc-_Third-Party-Administrator_REGENEXX-DCI_UNITEDHEALTHCARE-CHOICE-PLUS_-RGX_2H0L_in-network-rates.json.gz
25,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HealthSCOPE-Benefits--Inc-_Third-Party-Administrator_RELYMD_UNITEDHEALTHCARE-CHOICE-PLUS_-MID_2H0L_in-network-rates.json.gz
26,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HealthSCOPE-Benefits--Inc-_Third-Party-Administrator_RELYMD-DCI_UNITEDHEALTHCARE-CHOICE-PLUS_-REL_0L_in-network-rates.json.gz
27,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HealthSCOPE-Benefits--Inc-_Third-Party-Administrator_TENET-IN-MICHIGAN_UNITEDHEALTHCARE-CHOICE-PLUS_-TNT_0L_in-network-rates.json.gz
28,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HealthSCOPE-Benefits--Inc-_Third-Party-Administrator_TENET-IN-MICHIGAN_UNITEDHEALTHCARE-CHOICE-PLUS_-TNT_0LQC_in-network-rates.json.gz
29,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HealthSCOPE-Benefits--Inc-_Third-Party-Administrator_TENET-IN-MICHIGAN_UNITEDHEALTHCARE-CHOICE-PLUS_-TNT_2H0L_in-network-rates.json.gz
30,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HealthSCOPE-Benefits--Inc-_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_2H0L_in-network-rates.json.gz
31,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_HealthSCOPE-Benefits--Inc-_Third-Party-Administrator_UNITED-HEALTH-SERVICES-DIRECT-CONTRACT_UNITEDHEALTHCARE-CHOICE-PLUS_-UHS_0L_in-network-rates.json.gz
32,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MAMSI-Life_Insurer_Behavior-Health_P3_in-network-rates.json.gz
33,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MAMSI-Life_Insurer_EP1-50_C1_in-network-rates.json.gz
36,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MAMSI-Life_Insurer_PS1-50_C2_in-network-rates.json.gz
40,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MEDICA-INSURANCE-COMPANY_INSURER_Choice-Plus_C2_in-network-rates.json.gz
41,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MEDICA-INSURANCE-COMPANY_INSURER_Options-PPO_P3_in-network-rates.json.gz
42,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MEDICA-INSURANCE-COMPANY-OF-WISCONSIN_INSURER_Choice-Plus_C2_in-network-rates.json.gz
43,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MEDICA-INSURANCE-COMPANY-OF-WISCONSIN_INSURER_Options-PPO_P3_in-network-rates.json.gz
44,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MEDICA-SELF-INSURED_INSURER_Choice-Plus_C2_in-network-rates.json.gz
45,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_MEDICA-SELF-INSURED_INSURER_Options-PPO_P3_in-network-rates.json.gz
46,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_Behavior-Health_P3_in-network-rates.json.gz
50,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0008974_UHC-Dental_in-network-rates.json.gz
51,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0009748_UHC-Dental_in-network-rates.json.gz
52,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0009761_UHC-Dental_in-network-rates.json.gz
53,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0009886_UHC-Dental_in-network-rates.json.gz
54,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0013118_UHC-Dental_in-network-rates.json.gz
55,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0014690_UHC-Dental_in-network-rates.json.gz
56,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0016377_UHC-Dental_in-network-rates.json.gz
57,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0016511_UHC-Dental_in-network-rates.json.gz
58,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0017006_UHC-Dental_in-network-rates.json.gz
59,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0017008_UHC-Dental_in-network-rates.json.gz
60,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0017010_UHC-Dental_in-network-rates.json.gz
61,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0017011_UHC-Dental_in-network-rates.json.gz
62,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0017053_UHC-Dental_in-network-rates.json.gz
63,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0017054_UHC-Dental_in-network-rates.json.gz
64,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0017055_UHC-Dental_in-network-rates.json.gz
65,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0017059_UHC-Dental_in-network-rates.json.gz
66,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0019444_UHC-Dental_in-network-rates.json.gz
67,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0030018_UHC-Dental_in-network-rates.json.gz
68,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0030767_UHC-Dental_in-network-rates.json.gz
69,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0030983_UHC-Dental_in-network-rates.json.gz
70,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031049_UHC-Dental_in-network-rates.json.gz
71,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031098_UHC-Dental_in-network-rates.json.gz
72,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031348_UHC-Dental_in-network-rates.json.gz
73,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031364_UHC-Dental_in-network-rates.json.gz
74,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031489_UHC-Dental_in-network-rates.json.gz
75,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031693_UHC-Dental_in-network-rates.json.gz
76,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031741_UHC-Dental_in-network-rates.json.gz
77,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031856_UHC-Dental_in-network-rates.json.gz
78,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031937_UHC-Dental_in-network-rates.json.gz
79,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031970_UHC-Dental_in-network-rates.json.gz
80,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031985_UHC-Dental_in-network-rates.json.gz
81,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Neighborhood-Health-Partnership--Inc_Insurer_D0031990_UHC-Dental_in-network-rates.json.gz
93,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_Behavior-Health_P3_in-network-rates.json.gz
94,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0000449_UHC-Dental_in-network-rates.json.gz
95,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0010619_UHC-Dental_in-network-rates.json.gz
96,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0015771_UHC-Dental_in-network-rates.json.gz
97,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0016988_UHC-Dental_in-network-rates.json.gz
98,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0018115_UHC-Dental_in-network-rates.json.gz
99,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0018900_UHC-Dental_in-network-rates.json.gz
100,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0018906_UHC-Dental_in-network-rates.json.gz
101,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0018910_UHC-Dental_in-network-rates.json.gz
102,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0018914_UHC-Dental_in-network-rates.json.gz
103,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0019018_UHC-Dental_in-network-rates.json.gz
104,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0019073_UHC-Dental_in-network-rates.json.gz
105,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0019771_UHC-Dental_in-network-rates.json.gz
106,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0030179_UHC-Dental_in-network-rates.json.gz
107,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0031058_UHC-Dental_in-network-rates.json.gz
108,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc-_Insurer_D0031711_UHC-Dental_in-network-rates.json.gz
110,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice-Inc-_Insurer_Maryland-Provider-Network_MDNETWORK_in-network-rates.json.gz
115,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice-Inc-_Insurer_UHC---Embedded-Dental_UHC-Dental_in-network-rates.json.gz
118,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Optimum-Choice--Inc--and-MAMSI-Life-and-Health-Insurance-Company_Insurer_Behavior-Health_P3_in-network-rates.json.gz
121,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Insurance--Inc-_Insurer_Choice-Plus-POS_8_in-network-rates.json.gz
125,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Insurance--Inc-_Insurer_OBH---Optum-Behavior-Health_P3_in-network-rates.json.gz
132,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Insurance--Inc-_Insurer_UHC---Embedded-Dental_UHC-Dental_in-network-rates.json.gz
134,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Plans--CT---Inc-_Insurer_Choice-Plus-POS_8_in-network-rates.json.gz
137,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Plans--CT---Inc-_Insurer_OBH---Optum-Behavior-Health_P3_in-network-rates.json.gz
143,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Plans--CT---Inc-_Insurer_UHC---Embedded-Dental_UHC-Dental_in-network-rates.json.gz
145,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Plans--Inc-_Insurer_Behavior-Health_P3_in-network-rates.json.gz
147,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Plans--Inc-_Insurer_UHC---Embedded-Dental_UHC-Dental_in-network-rates.json.gz
152,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Plans-LLC_Third-Party-Administrator_OBH---Optum-Behavior-Health_P3_in-network-rates.json.gz
157,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Plans--NJ---Inc-_Insurer_OBH---Optum-Behavior-Health_P3_in-network-rates.json.gz
162,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Oxford-Health-Plans--NJ---Inc-_Insurer_UHC---Embedded-Dental_UHC-Dental_in-network-rates.json.gz
164,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Rocky-Mountain-HMO_Insurer_Colorado-Doctors-Plan-CO-IEX-NWST-Prefix_CDP_in-network-rates.json.gz
165,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Rocky-Mountain-HMO_Insurer_Monument-Health-HMO-Tiered-Embedded-Chiro-Network-Set_MHHM_in-network-rates.json.gz
168,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Rocky-Mountain-HMO_Insurer_Rocky-Mountain-Valley-Limited-Network-Set_RMV_in-network-rates.json.gz
169,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Rocky-Mountain-HMO_Insurer_UHC---Embedded-Dental_UHC-Dental_in-network-rates.json.gz
175,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Surest_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_ENPA_in-network-rates.json.gz
176,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Surest_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_UBNT_in-network-rates.json.gz
177,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Surest_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_UCEQ_in-network-rates.json.gz
178,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Surest_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_UCQ_in-network-rates.json.gz
179,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Surest_Third-Party-Administrator_UNITEDHEALTHCARE-OPTIONS-PPO_UOQ_in-network-rates.json.gz
180,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Surest_Third-Party-Administrator_UNITEDHEALTHCARE-OPTIONS-PPO_UOQM_in-network-rates.json.gz
181,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_Surest_Third-Party-Administrator_UNITEDHEALTHCARE-SELECT-PLUS_USQ_in-network-rates.json.gz
184,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UHIC_Insurer_Choice-Plus_C2_in-network-rates.json.gz
185,https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UHIC_Insurer_Options-PPO_P3_in-network-rates.json.gz
